"Company","Year","Scope","Category","Value","Unit","Source File"
"Various Companies","2020","Total","General","94","tonnes CO2e","2020_FB_Sustainability-Report.pdf"
"Various Companies","Recent","Scope 1","General","3","tonnes CO2e","2020_FB_Sustainability-Report.pdf"
"Various Companies","2015","Scope 3","General","3","tonnes CO2e","2020_FB_Sustainability-Report.pdf"
"Various Companies","2020","Total","Energy","5.9","tonnes CO2e","2020_FB_Sustainability-Report.pdf"
"Various Companies","Recent","Total","Energy","100","tonnes CO2e","2020_FB_Sustainability-Report.pdf"
"Various Companies","2020","Total","General","1.5","tonnes CO2e","2020_FB_Sustainability-Report.pdf"
"Various Companies","2020","Total","General","23","tonnes CO2e","2020_FB_Sustainability-Report.pdf"
"Various Companies","2020","Total","Waste","78","tonnes CO2e","2020_FB_Sustainability-Report.pdf"
"Various Companies","2030","Total","General","50","tonnes CO2e","2020_FB_Sustainability-Report.pdf"
"Various Companies","Recent","Scope 1","General","2","tonnes CO2e","2020_FB_Sustainability-Report.pdf"
"Various Companies","Recent","Total","General","3000000","tonnes CO2e","2020_FB_Sustainability-Report.pdf"
"Various Companies","Recent","Total","General","726000","tonnes CO2e","2020_FB_Sustainability-Report.pdf"
"Various Companies","Recent","Total","General","2202000","tonnes CO2e","2020_FB_Sustainability-Report.pdf"
"Various Companies","Recent","Total","General","3726000","tonnes CO2e","2020_FB_Sustainability-Report.pdf"
"Various Companies","Recent","Scope 2","Energy","3","tonnes CO2e","2020_FB_Sustainability-Report.pdf"
"Various Companies","Recent","Scope 1","Transportation","1","tonnes CO2e","2020_FB_Sustainability-Report.pdf"
"Various Companies","2019","Scope 2","Direct Emissions","3","tonnes CO2e","2020_FB_Sustainability-Report.pdf"
"Various Companies","2018","Scope 3","Direct Emissions","3","tonnes CO2e","2020_FB_Sustainability-Report.pdf"
"Various Companies","2017","Scope 3","Transportation","75","tonnes CO2e","2020_FB_Sustainability-Report.pdf"
"Various Companies","2020","Total","General","8","tonnes CO2e","2020_FB_Sustainability-Report.pdf"
"Various Companies","Recent","Scope 2","General","3","tonnes CO2e","2020_FB_Sustainability-Report.pdf"
"Various Companies","2020","Scope 2","General","10","tonnes CO2e","2020_FB_Sustainability-Report.pdf"
"Various Companies","Recent","Scope 3","Energy","3","tonnes CO2e","2020_FB_Sustainability-Report.pdf"
"Various Companies","Recent","Scope 1","Direct Emissions","3","tonnes CO2e","2020_FB_Sustainability-Report.pdf"
"Various Companies","Recent","Scope 1","Direct Emissions","1","tonnes CO2e","2020_FB_Sustainability-Report.pdf"
"Various Companies","2017","Total","Direct Emissions","94","tonnes CO2e","2020_FB_Sustainability-Report.pdf"
"Various Companies","Recent","Scope 1","Energy","2","tonnes CO2e","2020_FB_Sustainability-Report.pdf"
"Various Companies","Recent","Scope 1","General","10","tonnes CO2e","2020_FB_Sustainability-Report.pdf"
"Various Companies","2015","Scope 1","General","3","tonnes CO2e","2020_FB_Sustainability-Report.pdf"
"Various Companies","2020","Total","Direct Emissions","145000","tonnes CO2e","2020_FB_Sustainability-Report.pdf"
"Various Companies","Recent","Total","Energy","3370","tonnes CO2e","2020_FB_Sustainability-Report.pdf"
"Various Companies","2017","Scope 1","General","2","tonnes CO2e","2020_FB_Sustainability-Report.pdf"
"Various Companies","Recent","Scope 3","General","3","tonnes CO2e","2020_FB_Sustainability-Report.pdf"
"Various Companies","Recent","Scope 1","Direct Emissions","2","tonnes CO2e","2020_FB_Sustainability-Report.pdf"
